GOLD,FOREX_RESERVES,INFLATION_YOY,OIL,INTEREST_RATE,USDPKR,M2,YEAR,MONTH,QUARTER,MONTH_SIN,MONTH_COS,USDPKR_diff,REAL_INTEREST,OIL_IN_PKR,KSE100_lag1,KSE100_lag3,KSE100_lag12,INFLATION_YOY_lag1,INFLATION_YOY_lag3,INFLATION_YOY_lag12,INTEREST_RATE_lag1,INTEREST_RATE_lag3,INTEREST_RATE_lag12,USDPKR_lag1,USDPKR_lag3,USDPKR_lag12,OIL_lag1,OIL_lag3,OIL_lag12,FOREX_RESERVES_lag1,FOREX_RESERVES_lag3,FOREX_RESERVES_lag12,GOLD_lag1,GOLD_lag3,GOLD_lag12,M2_lag1,M2_lag3,M2_lag12,KSE100_roll_mean3,KSE100_roll_std3,OIL_roll_mean3,OIL_roll_std3,GOLD_roll_mean3,GOLD_roll_std3
1182.4000244140625,7.54,143.791308133734,59.630001068115234,5.51,101.75,41165.17,2015,4,2,0.8660254037844387,-0.4999999999999998,-0.0499954223632954,-138.281308133734,6067.352608680725,30233.869140625,34443.87109375,28912.98046875,141.911920325567,142.913292980112,140.816215464435,8.99,5.94,17.71,101.8000030517578,100.9000015258789,98.25,47.59999847412109,48.2400016784668,99.73999786376952,11.23,8.0,20.46,1183.0999755859375,1278.5,1295.5999755859375,40115.07,37445.81,34239.38,32769.977213541664,2233.514964559192,48.53333282470703,1.1094738420624597,1224.7333170572915,48.84367559875642
1189.4000244140625,20.06,144.879756671283,60.29999923706055,17.33,101.8499984741211,39353.87,2015,5,2,0.4999999999999999,-0.8660254037844387,-0.0500030517577982,-127.549756671283,6141.55483028412,33729.9609375,33632.19140625,29737.689453125,143.791308133734,141.592642087886,140.446142961668,5.51,20.73,15.06,101.75,101.8499984741211,98.5999984741211,59.630001068115234,49.7599983215332,102.70999908447266,7.54,23.66,17.65,1182.4000244140625,1212.5999755859375,1245.5999755859375,41165.17,38400.15,35945.9,32532.00716145833,1990.846174974357,52.32999928792318,6.413573054726199,1192.6999918619792,17.237444621270626
1171.5,24.7,145.772284472072,59.470001220703125,21.72,101.75,41063.58,2015,6,2,1.2246467991473532e-16,-1.0,0.0999984741210937,-124.052284472072,6051.072624206543,33056.7890625,30233.869140625,29652.529296875,144.879756671283,141.911920325567,141.309645468124,17.33,8.99,9.26,101.8499984741211,101.8000030517578,98.5,60.29999923706055,47.59999847412109,105.37000274658205,20.06,11.23,11.51,1189.4000244140625,1183.0999755859375,1321.800048828125,39353.87,40115.07,36441.06,32340.20638020833,1854.9346399440624,55.84333292643229,7.146792746126912,1184.9666748046875,3.855311204069901
1094.9000244140625,20.07,146.301996093679,47.119998931884766,17.35,101.75,39784.84,2015,7,3,-0.4999999999999997,-0.8660254037844388,-0.0999984741210937,-128.951996093679,4794.459891319275,34398.859375,33729.9609375,30314.0703125,145.772284472072,143.791308133734,143.711488574314,21.72,5.51,9.18,101.75,101.75,98.5999984741211,59.470001220703125,59.630001068115234,98.16999816894533,24.7,7.54,11.42,1171.5,1182.4000244140625,1281.300048828125,41063.58,41165.17,38110.79,33728.536458333336,671.036290210252,59.800000508626304,0.4403396803816741,1181.1000162760415,9.020545126291688
1131.5999755859375,15.2,146.759144479449,49.20000076293945,12.74,102.48999786376952,42058.55,2015,8,3,-0.8660254037844384,-0.5000000000000004,0.0,-134.01914447944898,5042.507973091123,35741.51953125,33056.7890625,28567.740234375,146.301996093679,144.879756671283,144.183149607251,17.35,17.33,17.21,101.75,101.8499984741211,100.77999877929688,47.119998931884766,60.29999923706055,95.95999908447266,20.07,20.06,19.93,1094.9000244140625,1189.4000244140625,1285.800048828125,39784.84,39353.87,38328.77,34399.055989583336,1342.3652451742114,55.62999979654948,7.381552019340787,1151.933349609375,50.1966418760456
1115.5,16.41,146.606761684193,45.09000015258789,13.89,104.25,42708.36,2015,9,3,-1.0,-1.8369701987210294e-16,0.739997863769517,-132.716761684193,4700.632515907288,34726.51171875,34398.859375,29726.390625,146.759144479449,145.772284472072,144.691092258107,12.74,21.72,5.83,102.48999786376952,101.75,101.29000091552734,49.20000076293945,59.470001220703125,91.16000366210938,15.2,24.7,7.88,1131.5999755859375,1171.5,1210.5,42058.55,41063.58,37131.57,34955.630208333336,700.0396670882506,51.93000030517578,6.612133714536633,1132.6666666666667,38.31112680851481
1141.5,15.55,147.325137718975,46.59000015258789,13.08,105.0999984741211,41780.14,2015,10,4,-0.8660254037844386,0.5000000000000001,1.760002136230483,-134.24513771897497,4896.608944946289,32287.41015625,35741.51953125,30376.529296875,146.606761684193,146.301996093679,144.988601525037,13.89,17.35,10.52,104.25,101.75,101.83000183105467,45.09000015258789,47.119998931884766,80.54000091552734,16.41,20.07,12.85,1115.5,1094.9000244140625,1171.0999755859375,42708.36,39784.84,37473.38,34251.813802083336,1775.3088400843046,47.13666661580404,2.0550510001062747,1114.0,18.395899108354847
1065.800048828125,19.16,148.18864022543,41.650001525878906,16.49,103.83999633789062,43394.8,2015,11,4,-0.5000000000000004,0.8660254037844384,0.8499984741210938,-131.69864022542998,4324.936005920405,34261.6015625,34726.51171875,31197.98046875,147.325137718975,146.759144479449,144.248456519504,13.08,12.74,17.58,105.0999984741211,102.48999786376952,100.45999908447266,46.59000015258789,49.20000076293945,66.1500015258789,15.55,15.2,20.32,1141.5,1131.5999755859375,1175.199951171875,41780.14,42058.55,37428.91,33758.5078125,1295.0411572665505,46.960000356038414,2.0798320526396985,1129.5333251953125,13.12262484711314
1060.300048828125,19.09,147.346906689726,37.040000915527344,16.42,103.36000061035156,43120.92,2015,12,4,-2.4492935982947064e-16,1.0,-1.2600021362304688,-130.92690668972602,3828.4545172363287,32255.19921875,32287.41015625,32131.279296875,148.18864022543,146.606761684193,142.797191802773,16.49,13.89,14.36,103.83999633789062,104.25,100.4499969482422,41.650001525878906,45.09000015258789,53.27000045776367,19.16,16.41,16.92,1065.800048828125,1115.5,1183.9000244140625,43394.8,42708.36,38914.38,32934.736979166664,1149.211296064355,44.4433339436849,2.5326921441964583,1107.6000162760415,38.46333265573123
1116.4000244140625,23.74,147.658928603823,33.619998931884766,20.81,103.22000122070312,43445.44,2016,1,1,0.4999999999999999,0.8660254037844387,-0.4799957275390625,-126.848928603823,3470.2563307891837,32816.30859375,34261.6015625,34443.87109375,147.346906689726,147.325137718975,142.913292980112,16.42,13.08,5.94,103.36000061035156,105.0999984741211,100.9000015258789,37.040000915527344,46.59000015258789,48.2400016784668,19.09,15.55,8.0,1060.300048828125,1141.5,1278.5,43120.92,41780.14,37445.81,33111.036458333336,1035.1622949435352,41.76000086466471,4.775949774428593,1089.2000325520833,45.37650764757164
